x y Size
7.295081967213115082e-01 2.000000000000000111e-01 1.250000000000000000e-01
1.147540983606557319e+00 4.487179487179487336e-01 1.018989037304604550e-01
1.121621621621621712e+00 4.301075268817204367e-01 1.384091330895666216e-01
1.108433734939759052e+00 2.959999999999999853e-01 1.385418996746148879e-01
1.500000000000000000e+00 4.444444444444444198e-01 9.980824526939038877e-02
1.666666666666666741e+00 4.216867469879518326e-01 9.982048454657786729e-02
1.666666666666666741e+00 3.838383838383838120e-01 1.018989037304604550e-01
1.424242424242424310e+00 3.448275862068965747e-01 8.239622188056738850e-02
1.227848101265822889e+00 4.678899082568807599e-01 1.166316474052844082e-01
2.054054054054053946e+00 8.214285714285713969e-01 1.167820151870096745e-01
5.133333333333333748e+00 7.037037037037037202e-01 9.990398461540234143e-02
4.533333333333333215e+00 1.024390243902439046e+00 8.059769086182501374e-02
2.500000000000000000e+00 9.583333333333333703e-01 7.905694150420948529e-02
2.827586206896551602e+00 6.666666666666666297e-01 9.990398461540234143e-02
2.250000000000000000e+00 7.343750000000000000e-01 9.980824526939038877e-02
1.953488372093023173e+00 5.324675324675324228e-01 9.789528545775022517e-02
1.783783783783783772e+00 5.079365079365079083e-01 1.017973197118575007e-01
2.611111111111111160e+00 6.666666666666666297e-01 1.017973197118575007e-01
2.333333333333333481e+00 5.696202531645570000e-01 1.239060010469052453e-01
3.066666666666666874e+00 6.619718309859154992e-01 1.237264456255190853e-01
3.956521739130434590e+00 6.764705882352941568e-01 1.017973197118575007e-01
1.708333333333333259e+00 4.767441860465116421e-01 9.980824526939038877e-02
2.441176470588235503e+00 5.890410958904109817e-01 9.980824526939038877e-02
2.180000000000000160e+00 8.125000000000000000e-01 1.234191737940877470e-01
3.857142857142857206e+00 8.888888888888888395e-01 9.967467141795560703e-02
4.157894736842105310e+00 7.192982456140351033e-01 9.980824526939038877e-02
3.473684210526315930e+00 8.888888888888888395e-01 8.070569968525037607e-02
2.040816326530612290e+00 7.682926829268292845e-01 1.187007604251720388e-01
2.411764705882352811e+00 6.428571428571429047e-01 1.016556111340625596e-01
2.899999999999999911e+00 1.150943396226415061e+00 1.050876397751469293e-01
2.538461538461538325e+00 7.358490566037735325e-01 8.059769086182501374e-02
2.232558139534883690e+00 5.444444444444443976e-01 9.950371902099890142e-02
2.121951219512195230e+00 5.749999999999999556e-01 1.357563351323471945e-01
2.025641025641025550e+00 6.521739130434782705e-01 1.260882674651723490e-01
2.928571428571428381e+00 7.868852459016393297e-01 7.669649888473703547e-02
2.468750000000000000e+00 7.704918032786884918e-01 1.189046943053819194e-01
4.611111111111110716e+00 1.127659574468085069e+00 9.967467141795560703e-02
3.156250000000000000e+00 8.472222222222222099e-01 1.166316474052844082e-01
4.368421052631578760e+00 8.888888888888888395e-01 9.789528545775022517e-02
6.000000000000000000e+00 1.227272727272727293e+00 9.789528545775022517e-02
2.552631578947368585e+00 1.065573770491803351e+00 1.145856856114874783e-01
2.000000000000000000e+00 6.410256410256410797e-01 1.167820151870096745e-01
2.533333333333333215e+00 7.931034482758620996e-01 9.787003658578391496e-02
3.000000000000000000e+00 6.301369863013698280e-01 1.385418996746148879e-01
2.571428571428571619e+00 9.583333333333333703e-01 1.355815361366601024e-01
3.100000000000000089e+00 7.826086956521739468e-01 8.231408027717518339e-02
4.647058823529412130e+00 9.200000000000000400e-01 8.219949365267864572e-02
3.421052631578947345e+00 8.666666666666666963e-01 8.219949365267864572e-02
4.799999999999999822e+00 1.023255813953488413e+00 7.905694150420948529e-02
2.200000000000000178e+00 6.716417910447761708e-01 1.035240552154136767e-01
4.049999999999999822e+00 8.703703703703703498e-01 9.967467141795560703e-02
6.538461538461538325e+00 8.490566037735849392e-01 8.560777901866518935e-02
5.210526315789473450e+00 7.611940298507462455e-01 1.162052048534681359e-01
3.346153846153846256e+00 9.152542372881355970e-01 9.760788583439962418e-02
3.344827586206896353e+00 1.489361702127659504e+00 1.164391681640715298e-01
4.166666666666666963e+00 1.254545454545454630e+00 9.578262852211513745e-02
3.379310344827586299e+00 9.242424242424241987e-01 1.210676821328351971e-01
2.270270270270270174e+00 6.714285714285713746e-01 1.050876397751469293e-01
2.714285714285714413e+00 1.050847457627118731e+00 1.188037290699729964e-01
1.739130434782608647e+00 8.103448275862068506e-01 1.164391681640715298e-01
8.787878787878787845e-01 7.600000000000000089e-01 9.578262852211513745e-02
1.104651162790697638e+00 5.473684210526316152e-01 1.390793503487511018e-01
1.727272727272727293e+00 8.309859154929577496e-01 1.185738333457504456e-01
1.288888888888888973e+00 5.779816513761467656e-01 1.575357681549659494e-01
3.111111111111111160e+00 1.395348837209302362e+00 9.760788583439962418e-02
4.650000000000000355e+00 1.183673469387755084e+00 1.009619810466875905e-01
2.404255319148936199e+00 1.090909090909090828e+00 1.514456332038456587e-01
2.812500000000000000e+00 1.441860465116278966e+00 1.011577302022706043e-01
1.754716981132075526e+00 5.294117647058823595e-01 1.048682290702728920e-01
2.475000000000000089e+00 7.600000000000000089e-01 1.208244186660353964e-01
4.181818181818181657e+00 7.656250000000000000e-01 1.234191737940877470e-01
2.628571428571428559e+00 7.246376811594202882e-01 1.166316474052844082e-01
2.843750000000000000e+00 8.281250000000000000e-01 9.578262852211513745e-02
2.850000000000000089e+00 1.134328358208955168e+00 1.364887320970313012e-01
4.000000000000000000e+00 1.302325581395348930e+00 9.760788583439962418e-02
3.518518518518518601e+00 5.256410256410256610e-01 1.187007604251720388e-01
2.160000000000000142e+00 7.093023255813953876e-01 1.427818028802809724e-01
1.884057971014492683e+00 7.115384615384615641e-01 1.799128163237193323e-01
2.945945945945946054e+00 6.941176470588235059e-01 1.208244186660353964e-01
4.928571428571428825e+00 1.074999999999999956e+00 7.892647245526888955e-02
3.684210526315789380e+00 8.163265306122449161e-01 8.045945746465404946e-02
4.357142857142856762e+00 1.083333333333333259e+00 8.219949365267864572e-02
4.368421052631578760e+00 1.125000000000000000e+00 8.560777901866518935e-02
3.399999999999999911e+00 9.130434782608695121e-01 7.656992531540622593e-02
2.375000000000000000e+00 7.142857142857143016e-01 8.187472156621811159e-02
6.900000000000000355e+00 1.633333333333333304e+00 8.205286873307192363e-02
3.722222222222222321e+00 9.318181818181817677e-01 8.899883189799696892e-02
1.560000000000000053e+00 7.343750000000000000e-01 9.967467141795560703e-02
7.093023255813953876e-01 3.763440860215053752e-01 1.037166184689225640e-01
5.833333333333333703e-01 3.918918918918918859e-01 1.239060010469052453e-01
6.979166666666666297e-01 3.203883495145631310e-01 1.293034626358316175e-01
6.585365853658536883e-01 4.303797468354430555e-01 1.237264456255190853e-01
7.920792079207921166e-01 3.391304347826086807e-01 1.291576370987010114e-01
7.882352941176470340e-01 3.913043478260869734e-01 1.264774339096507716e-01
8.095238095238095344e-01 2.631578947368420907e-01 1.503122221281509019e-01
9.166666666666666297e-01 3.115942028985507206e-01 1.713823017625604739e-01
7.560975609756097615e-01 3.043478260869565410e-01 1.470270304637436298e-01
1.593220338983050821e+00 9.571428571428571841e-01 1.555555555555555580e-01
9.313725490196078649e-01 3.560606060606060774e-01 1.471862023523659579e-01
8.813559322033898136e-01 2.666666666666666630e-01 1.679272644942464421e-01
9.770114942528735913e-01 3.305084745762711940e-01 1.471862023523659579e-01
8.285714285714286254e-01 2.592592592592592449e-01 1.471862023523659579e-01
8.796296296296296502e-01 2.517482517482517723e-01 1.714985851425088192e-01
1.112359550561797805e+00 3.412698412698412787e-01 1.548609067921555282e-01
1.350649350649350655e+00 4.786324786324786529e-01 1.471862023523659579e-01
1.296296296296296280e+00 4.122137404580152875e-01 1.752926672873098279e-01
9.907407407407406996e-01 1.812865497076023291e-01 1.504142093990467055e-01
1.048543689320388328e+00 3.379310344827586299e-01 1.503122221281509019e-01
1.312500000000000000e+00 2.999999999999999889e-01 1.536825553613362372e-01
1.388349514563106846e+00 5.065789473684210176e-01 1.679272644942464421e-01
1.344086021505376261e+00 3.741496598639456050e-01 1.472819539849714310e-01
1.340659340659340559e+00 4.705882352941176405e-01 1.679272644942464421e-01
1.552238805970149294e+00 3.599999999999999867e-01 1.250000000000000000e-01
1.357142857142857206e+00 4.553571428571428492e-01 1.248916341365439997e-01
1.131578947368421018e+00 2.578125000000000000e-01 1.266967274144329136e-01
1.433333333333333348e+00 3.518518518518518601e-01 1.276306889434551117e-01
1.224137931034482651e+00 2.285714285714285643e-01 1.062065274086684413e-01
9.891304347826086474e-01 2.923076923076923239e-01 1.275441498744409319e-01
1.125000000000000000e+00 2.857142857142856984e-01 1.060226994432467151e-01
8.333333333333333703e-01 1.203703703703703637e-01 1.061669237088964657e-01
1.326530612244897878e+00 3.411764705882353033e-01 1.040763617804533331e-01
1.023255813953488413e+00 3.384615384615384803e-01 8.331525472734267745e-02
1.097222222222222321e+00 3.392857142857143016e-01 1.018501054658388083e-01
9.285714285714286031e-01 1.842105263157894635e-01 1.060226994432467151e-01
1.038961038961038863e+00 2.727272727272727071e-01 1.239060010469052453e-01
1.051724137931034475e+00 3.076923076923077094e-01 1.038671350463590409e-01
1.685714285714285721e+00 5.409836065573770947e-01 1.062065274086684413e-01
1.051724137931034475e+00 3.678160919540229834e-01 8.148008437267105497e-02
9.811320754716981174e-01 3.461538461538461453e-01 8.502943324962729255e-02
8.813559322033898136e-01 2.065217391304347838e-01 1.083916848423961826e-01
1.015873015873015817e+00 2.947368421052631304e-01 1.062867915620341192e-01
1.040000000000000036e+00 3.518518518518518601e-01 1.018501054658388083e-01
1.089285714285714191e+00 3.448275862068965747e-01 1.040763617804533331e-01
1.456140350877193068e+00 4.270833333333333148e-01 1.041440684091783503e-01
1.020000000000000018e+00 3.380281690140845008e-01 8.508712596230340319e-02
9.649122807017543879e-01 2.727272727272727071e-01 1.040763617804533331e-01
1.218750000000000000e+00 3.333333333333333148e-01 1.062065274086684413e-01
1.368421052631578982e+00 4.062500000000000000e-01 8.582356655016119829e-02
1.052631578947368363e+00 3.295454545454545303e-01 1.039750489820072538e-01
1.137931034482758674e+00 4.137931034482758563e-01 1.039638102586342150e-01
8.888888888888888395e-01 1.799999999999999933e-01 1.083916848423961826e-01
8.947368421052631637e-01 2.134831460674157244e-01 1.083916848423961826e-01
9.850746268656715987e-01 3.131313131313131493e-01 1.082694431379559036e-01
1.222222222222222321e+00 2.987012987012986898e-01 8.582356655016119829e-02
9.599999999999999645e-01 2.752293577981651529e-01 1.019559237857732004e-01
1.162162162162162060e+00 4.035087719298245390e-01 8.331525472734267745e-02
1.080000000000000071e+00 3.164556962025316666e-01 1.061374799244547557e-01
2.230769230769230838e+00 1.048780487804878092e+00 8.148008437267105497e-02
8.499999999999999778e-01 2.197802197802197766e-01 1.061669237088964657e-01
9.830508474576271638e-01 1.938775510204081565e-01 1.040763617804533331e-01
1.088888888888888795e+00 3.428571428571428603e-01 8.764633364365491397e-02
1.414634146341463339e+00 4.411764705882352811e-01 8.573075418760435495e-02
1.459999999999999964e+00 4.819277108433734913e-01 1.038671350463590409e-01
1.125000000000000000e+00 2.884615384615384359e-01 1.266143587455806352e-01
1.164179104477611970e+00 3.846153846153846367e-01 1.237264456255190853e-01
1.333333333333333259e+00 3.636363636363636465e-01 8.407500858523338227e-02
1.089552238805970186e+00 3.398058252427184622e-01 1.039638102586342150e-01
1.520000000000000018e+00 5.625000000000000000e-01 1.248916341365439997e-01
1.100000000000000089e+00 3.518518518518518601e-01 1.248916341365439997e-01
9.012345679012345734e-01 2.389380530973451433e-01 1.351391371035708666e-01
1.258620689655172376e+00 2.718446601941747476e-01 1.260422414488678311e-01
1.666666666666666741e+00 3.827160493827160281e-01 1.033622788243403895e-01
2.272727272727272929e+00 4.025974025974026205e-01 9.266809891468584526e-02
8.651685393258427004e-01 2.028985507246376940e-01 1.338099508793796355e-01
1.066666666666666652e+00 3.191489361702127825e-01 1.058626305724741368e-01
1.555555555555555580e+00 4.731182795698924970e-01 1.113245812620123620e-01
1.425531914893616969e+00 3.255813953488372325e-01 9.480909262799544490e-02
1.615384615384615419e+00 3.972602739726027177e-01 1.115871677518069233e-01
1.071428571428571397e+00 2.184873949579831942e-01 1.262864832912412860e-01
1.583333333333333259e+00 4.307692307692307931e-01 6.704015231539908748e-02
1.222222222222222321e+00 3.084112149532710068e-01 1.115871677518069233e-01
1.941176470588235281e+00 4.705882352941176405e-01 8.386603972377085214e-02
1.387755102040816313e+00 3.764705882352941124e-01 9.480909262799544490e-02
1.350877192982456121e+00 2.761904761904762085e-01 1.118033988749894819e-01
1.577777777777777724e+00 4.500000000000000111e-01 9.079660281786226805e-02
2.103448275862068950e+00 7.307692307692307265e-01 9.079660281786226805e-02
1.128205128205128194e+00 3.360655737704917878e-01 1.058626305724741368e-01
1.491803278688524692e+00 3.451327433628318397e-01 1.095369574885771691e-01
1.615384615384615419e+00 3.203883495145631310e-01 9.284766908852593037e-02
1.275362318840579601e+00 2.661290322580645018e-01 1.037166184689225640e-01
1.185714285714285721e+00 2.857142857142856984e-01 1.234967315520518888e-01
1.297297297297297369e+00 3.599999999999999867e-01 1.307440900921227056e-01
1.407407407407407440e+00 2.500000000000000000e-01 1.113245812620123620e-01
1.425000000000000044e+00 3.472222222222222099e-01 8.560132129176833971e-02
3.241379310344827402e+00 1.571428571428571397e+00 1.048682290702728920e-01
3.782608695652173836e+00 2.129032258064516014e+00 8.708832404552736828e-02
2.482758620689655249e+00 5.781250000000000000e-01 6.552624114224010754e-02
1.114583333333333259e+00 3.443708609271523002e-01 1.281156637860690894e-01
2.261904761904761862e+00 8.787878787878787845e-01 9.035079029052511812e-02
2.724137931034482651e+00 7.833333333333333259e-01 9.461792365704815855e-02
1.525423728813559254e+00 4.421052631578947234e-01 1.281156637860690894e-01
1.039473684210526327e+00 2.399999999999999911e-01 1.139350676565294290e-01
1.653846153846153744e+00 5.054945054945054750e-01 1.090865569070047780e-01
2.066666666666666874e+00 7.358490566037735325e-01 8.723341536128999263e-02
1.107692307692307754e+00 3.173076923076922906e-01 1.104315260748465338e-01
1.235294117647058876e+00 2.391304347826087029e-01 8.560132129176833971e-02
1.780000000000000027e+00 5.977011494252874035e-01 1.078810313276726551e-01
1.925000000000000044e+00 5.064935064935064402e-01 9.266809891468584526e-02
1.129032258064516236e+00 2.452830188679245293e-01 1.313064328597225716e-01
1.765957446808510634e+00 5.294117647058823595e-01 8.560132129176833971e-02
1.622641509433962348e+00 5.444444444444443976e-01 8.136200945490677794e-02
1.360000000000000098e+00 3.111111111111111160e-01 8.148008437267105497e-02
1.319148936170212671e+00 2.528735632183908288e-01 1.080989974903882461e-01
1.155172413793103425e+00 2.626262626262626521e-01 6.244581706827199985e-02
9.682539682539682557e-01 1.588785046728971861e-01 1.062867915620341192e-01
1.682926829268292623e+00 3.580246913580246715e-01 1.085930606907673512e-01
1.204081632653061229e+00 2.000000000000000111e-01 8.764633364365491397e-02
1.296296296296296280e+00 4.090909090909091161e-01 8.493353896711716700e-02
9.622641509433962348e-01 1.954022988505747238e-01 6.515583641446040519e-02
1.195121951219512146e+00 2.857142857142856984e-01 8.587939886651874133e-02
1.325581395348837122e+00 3.513513513513513709e-01 1.040763617804533331e-01
8.450704225352112520e-01 1.491228070175438514e-01 1.062867915620341192e-01
1.333333333333333259e+00 2.857142857142856984e-01 6.874516652539955364e-02
1.114285714285714324e+00 2.982456140350877027e-01 1.083916848423961826e-01
1.380952380952380931e+00 2.820512820512820484e-01 6.377207493722046594e-02
1.235294117647058876e+00 2.808988764044944020e-01 1.039750489820072538e-01
1.270833333333333259e+00 3.797468354430380000e-01 1.061374799244547557e-01
1.500000000000000000e+00 7.105263157894736725e-01 8.502943324962729255e-02
1.343750000000000000e+00 5.625000000000000000e-01 8.502943324962729255e-02
1.815789473684210620e+00 6.461538461538461897e-01 1.083916848423961826e-01
1.419354838709677491e+00 5.000000000000000000e-01 8.502943324962729255e-02
1.250000000000000000e+00 3.026315789473684181e-01 8.493353896711716700e-02
1.157894736842105310e+00 2.424242424242424310e-01 8.954813188742857810e-02
1.306122448979591733e+00 2.282608695652173780e-01 1.062867915620341192e-01
1.181818181818181879e+00 3.150684931506849140e-01 8.502943324962729255e-02
1.602564102564102644e+00 1.212499999999999911e+00 1.752926672873098279e-01
1.120000000000000107e+00 4.788732394366196909e-01 1.321091601240400037e-01
8.974358974358974672e-01 2.718446601941747476e-01 1.063589074528792505e-01
7.551020408163264808e-01 3.392857142857143016e-01 8.508712596230340319e-02
6.633663366336634004e-01 2.385321100917431325e-01 1.536825553613362372e-01
6.823529411764706065e-01 2.783505154639175361e-01 1.293911954035660006e-01
8.815789473684210176e-01 2.929292929292929282e-01 1.293911954035660006e-01
1.087719298245614086e+00 4.177215189873417778e-01 1.304039724552934210e-01
9.000000000000000222e-01 2.884615384615384359e-01 1.322027329088499847e-01
9.010989010989011172e-01 2.283464566929133965e-01 1.739130434782608647e-01
1.035087719298245723e+00 3.599999999999999867e-01 1.086956521739130405e-01
9.101123595505618002e-01 2.601626016260162877e-01 1.504142093990467055e-01
8.526315789473684070e-01 2.881355932203389925e-01 1.521379678645089772e-01
9.375000000000000000e-01 3.750000000000000000e-01 1.304039724552934210e-01
9.090909090909090606e-01 3.333333333333333148e-01 1.303116728289208104e-01
1.102941176470588314e+00 4.175824175824175977e-01 1.293034626358316175e-01
7.912087912087911734e-01 2.184873949579831942e-01 1.275441498744409319e-01
7.866666666666666252e-01 3.488372093023255904e-01 1.276306889434551117e-01
8.021978021978022344e-01 2.307692307692307820e-01 1.504142093990467055e-01
9.855072463768116409e-01 3.636363636363636465e-01 1.504142093990467055e-01
7.848101265822784445e-01 2.600000000000000089e-01 1.293034626358316175e-01
8.513513513513513153e-01 3.333333333333333148e-01 1.293034626358316175e-01
8.095238095238095344e-01 2.650602409638554424e-01 1.083916848423961826e-01
7.761194029850746468e-01 3.783783783783783994e-01 1.082694431379559036e-01
8.199999999999999512e-01 2.014388489208633060e-01 1.503122221281509019e-01
8.399999999999999689e-01 3.387096774193548154e-01 1.062867915620341192e-01
7.624999999999999556e-01 1.759259259259259300e-01 1.521379678645089772e-01
8.295454545454545858e-01 1.968503937007874127e-01 1.350391944271833455e-01
8.732394366197182567e-01 3.295454545454545303e-01 1.293911954035660006e-01
7.634408602150537515e-01 2.184873949579831942e-01 1.293034626358316175e-01
1.027027027027026973e+00 3.018867924528301772e-01 1.322027329088499847e-01
8.082191780821917915e-01 2.553191489361701927e-01 1.321091601240400037e-01
7.522123893805309214e-01 2.083333333333333426e-01 1.520302849670742973e-01
9.710144927536231707e-01 2.916666666666666852e-01 1.304039724552934210e-01
1.351851851851851860e+00 5.384615384615384359e-01 1.644434374852436209e-01
9.746835443037974445e-01 2.894736842105263275e-01 1.303116728289208104e-01
1.000000000000000000e+00 1.959459459459459429e-01 1.570960559016737201e-01
1.372881355932203284e+00 4.141414141414141437e-01 1.304039724552934210e-01
1.253968253968253954e+00 4.059405940594059681e-01 1.321091601240400037e-01
1.030303030303030276e+00 1.769911504424778736e-01 1.086699770460778508e-01
1.206349206349206282e+00 3.762376237623762387e-01 1.130605775618690190e-01
1.085365853658536661e+00 3.076923076923077094e-01 1.348731149221749914e-01
1.033707865168539408e+00 2.312925170068027281e-01 1.303116728289208104e-01
9.102564102564102422e-01 2.307692307692307820e-01 1.107436271005976525e-01
8.378378378378378288e-01 2.110091743119266172e-01 1.131997976337734135e-01
9.065420560747663448e-01 2.115384615384615363e-01 1.535737792084878039e-01
1.041666666666666741e+00 2.215189873417721389e-01 1.751010489931187353e-01
8.455284552845528934e-01 1.390374331550802145e-01 1.737488971052277564e-01
8.105263157894736503e-01 8.333333333333332871e-02 1.351391371035708666e-01
9.629629629629629095e-01 2.343750000000000000e-01 1.536825553613362372e-01
9.629629629629629095e-01 1.729323308270676596e-01 1.521379678645089772e-01
9.770114942528735913e-01 1.888111888111888015e-01 1.488015081868477585e-01
9.193548387096773800e-01 2.500000000000000000e-01 1.322027329088499847e-01
1.111111111111111160e+00 3.043478260869565410e-01 1.521379678645089772e-01
9.122807017543859143e-01 4.366197183098591283e-01 1.133115447465063153e-01
9.577464788732393819e-01 2.477064220183486376e-01 1.304347826086956486e-01
7.628865979381442841e-01 1.379310344827586188e-01 1.555171609960282197e-01
6.944444444444444198e-01 1.789473684210526327e-01 1.333333333333333315e-01
9.740259740259740173e-01 2.457627118644067910e-01 1.304347826086956486e-01
8.673469387755101678e-01 1.712328767123287576e-01 1.555171609960282197e-01
8.777777777777777679e-01 1.499999999999999944e-01 1.333333333333333315e-01
1.059701492537313383e+00 3.047619047619047894e-01 1.304039724552934210e-01
1.061728395061728447e+00 2.296296296296296280e-01 1.521379678645089772e-01
9.000000000000000222e-01 2.212389380530973559e-01 1.333333333333333315e-01
8.478260869565217295e-01 3.709677419354838745e-01 1.110836864257344347e-01
8.399999999999999689e-01 1.643835616438356073e-01 1.817712428263532354e-01
8.818181818181818343e-01 1.739130434782608647e-01 1.738719632737245613e-01
9.859154929577464976e-01 1.926605504587156070e-01 1.333004237108813272e-01
9.558823529411765163e-01 2.476190476190476275e-01 1.304347826086956486e-01
8.888888888888888395e-01 1.551724137931034531e-01 1.752664727890989038e-01
8.910891089108911034e-01 1.972789115646258473e-01 1.363284321197649196e-01
7.718120805369127480e-01 8.715596330275229842e-02 2.010323283526265770e-01
9.794520547945205768e-01 3.499999999999999778e-01 1.555171609960282197e-01
7.578947368421052877e-01 1.119402985074626905e-01 1.304039724552934210e-01
9.629629629629629095e-01 2.061068702290076438e-01 1.274003084506757644e-01
9.320388349514563409e-01 1.264367816091954144e-01 1.488015081868477585e-01
